Nom_du_site,Dpt,MWh_GTH
CPCU Paris Nord-EST,75,3530.78
Mirabeau/Crystal (Albien-ex AGF B16),75,
Batignolles-Eau de Paris (Albien) ,75,
BAILLY-ROMAINVILLIERS (VN),77,
CHAMP-sur-MARNE,77,
CHELLES,77,
COULOMMIERS 2,77,35605
DAMMARIE-LES-LYS,77,
LE M?E-SUR-SEINE,77,49711
MEAUX BEAUVAL 1,77,24754
MEAUX BEAUVAL 2,77,31349
MEAUX COLLINET,77,10574
MEAUX HOPITAL,77,31273
MELUN L'ALMONT,77,
SAN VAL MAUBUEE (Logne),77,48361
ADP Orly,91,26218
EPINAY-SOUS-SENART,91,
GRIGNY II,91,65928
MONTGERON,91,11832
SACLAY Mourlon (Albien),91,
SACLAY Polytechnique (Albien),91,
RIS ORANGIS,91,20519
VIGNEUX-SUR-SEINE,91,32639
BAGNEUX,92,47181
ISSY-LES-MOULINEAUX (Albien),92,
LE PLESSIS-ROBINSON (Néocomien),92,
BOBIGNY/DRANCY 1 ,93,
BOBIGNY/DRANCY 2 (Trias) ,93,
LA COURNEUVE NORD,93,34911
LA COURNEUVE SUD,93,5640
LE BLANC-MESNIL,93,14654
NEUILLY-SUR-MARNE,93,41996
ROSNY-SOUS-BOIS,93,45870
TREMBLAY-EN-FRANCE,93,41171
VILLEPINTE,93,35892
ALFORTVILLE,94,5928
ARCUEIL GENTILLY,94,57135
BONNEUIL-SUR-MARNE,94,38325.4
CACHAN 1,94,
CACHAN 2,94,
CACHAN 3,94,
CHAMPIGNY-SUR-MARNE,94,
CHEVILLY-LARUE ,94,148682
L'HAY-LES-ROSES ,94,
VILLEJUIF,94,
CRETEIL,94,53060
FRESNES,94,46591
IVRY-SUR-SEINE,94,28797
MAISONS-ALFORT 1,94,70713
MAISONS-ALFORT 2,94,
ORLY Nouvelet + ,94,65193
SUCY-EN-BRIE,94,25522
THIAIS,94,31844
VILLENEUVE-SAINT-GEORGES,94,25048
VILLIERS-LE-BEL,95,35919
SORBONNE (Lutétien),75,
ASNIERE ZAC Parc Affaires (Lutétien),92,
BOULOGNE-BILLANCORT (La Craie),92,
ISSY-COEUR de VILLE (La Craie),92,
NANTERRE Coeur de quartier (,92,
RIS-ORANGIS ZAC- Alcools (Yprésien),91,
PANTIN Hermes,93,722
TREMBLAY AEROVILLE (Yprésien),93,
VAL FONTENAY Sogécampus (Lutétien),94,
BEAUMONT-sur-OISE ,95,
